,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,collector_age,collector_marital_status,collector_gender
0,0,sms or WA,7,14400000,35700000,277706,40.0,45,Menikah,laki-laki
1,11,panggilan,35,79000000,160500000,22382611,49.0,32,Cerai mati,perempuan
2,4,sms or WA,6,7100000,26700000,205389,27.0,62,Cerai hidup,laki-laki
3,29,datang ke tempat,63,782000000,1395000000,482942548,56.00000000000001,55,Cerai mati,perempuan
4,22,datang ke tempat,35,346000000,485500000,151035603,71.0,53,Menikah,perempuan
5,20,datang ke tempat,36,466000000,883500000,284316268,53.0,33,Belum menikah,laki-laki
6,17,datang ke tempat,48,492000000,837000000,464890525,59.0,34,Cerai hidup,perempuan
7,24,datang ke tempat,69,564000000,649500000,432161409,87.0,38,Belum menikah,laki-laki
8,6,surat panggilan,21,19500000,43000000,1769207,45.0,54,Menikah,perempuan
9,20,datang ke tempat,53,236000000,1709500000,362025377,14.000000000000002,43,Cerai hidup,laki-laki
10,23,datang ke tempat,48,650000000,715500000,157060396,91.0,46,Menikah,perempuan
11,29,datang ke tempat,42,280000000,606000000,166751227,46.0,34,Menikah,laki-laki
12,0,sms or WA,17,30600000,75500000,419279,41.0,32,Menikah,laki-laki
13,16,datang ke tempat,61,286000000,1020500000,305352973,28.000000000000004,48,Menikah,laki-laki
14,22,datang ke tempat,69,176000000,831000000,558060691,21.0,58,Cerai hidup,laki-laki
15,22,datang ke tempat,50,124000000,502000000,127228206,25.0,59,Belum menikah,perempuan
16,20,datang ke tempat,55,185000000,185000000,195288735,100.0,35,Cerai mati,perempuan
17,10,surat panggilan,24,72500000,153000000,1899226,47.0,55,Cerai mati,perempuan
18,29,datang ke tempat,50,168000000,473500000,305034616,35.0,52,Menikah,perempuan
19,0,sms or WA,16,25200000,41900000,668008,60.0,34,Menikah,laki-laki
20,24,datang ke tempat,41,416000000,479500000,105962917,87.0,30,Cerai mati,perempuan
21,29,datang ke tempat,43,368000000,740000000,229999237,50.0,50,Cerai mati,perempuan
22,1,sms or WA,14,43800000,125500000,602604,35.0,54,Cerai mati,perempuan
23,5,sms or WA,19,84400000,126300000,522330,67.0,24,Cerai mati,laki-laki
24,15,panggilan,30,239000000,344000000,42217405,69.0,25,Cerai hidup,laki-laki
25,17,datang ke tempat,56,846000000,1928500000,284522568,44.0,57,Cerai mati,perempuan
26,16,datang ke tempat,43,452000000,1223000000,181629135,37.0,38,Belum menikah,laki-laki
27,5,sms or WA,15,12100000,21500000,211975,56.00000000000001,62,Belum menikah,perempuan
28,19,datang ke tempat,35,300000000,1040500000,279436686,29.0,38,Belum menikah,laki-laki
29,25,datang ke tempat,50,462000000,623500000,193612219,74.0,34,Cerai hidup,perempuan
30,7,surat panggilan,29,21500000,334000000,1986477,6.0,36,Cerai hidup,perempuan
31,25,datang ke tempat,64,208000000,1236500000,255873333,17.0,33,Belum menikah,perempuan
32,23,datang ke tempat,31,228000000,642500000,284505506,35.0,59,Menikah,perempuan
33,5,sms or WA,19,125300000,188600000,701029,66.0,37,Cerai mati,perempuan
34,23,datang ke tempat,50,248000000,650500000,58750749,38.0,26,Cerai hidup,laki-laki
35,26,datang ke tempat,62,288000000,358000000,256704397,80.0,44,Menikah,perempuan
36,9,surat panggilan,31,74500000,120000000,1840518,62.0,54,Menikah,perempuan
37,13,panggilan,43,193000000,482500000,21056445,40.0,27,Belum menikah,laki-laki
38,12,panggilan,36,264000000,461000000,71771042,56.99999999999999,23,Cerai hidup,perempuan
39,26,datang ke tempat,33,526000000,597000000,296643876,88.0,42,Cerai hidup,perempuan
40,23,datang ke tempat,36,98000000,228000000,191536981,43.0,23,Belum menikah,perempuan
41,15,panggilan,38,69000000,522000000,14973954,13.0,50,Cerai hidup,laki-laki
42,19,datang ke tempat,30,888000000,1009500000,217211037,88.0,24,Cerai hidup,perempuan
43,8,surat panggilan,36,28500000,68500000,2050729,42.0,24,Menikah,laki-laki
44,15,panggilan,40,184000000,312000000,26768368,59.0,33,Cerai hidup,laki-laki
45,23,datang ke tempat,33,484000000,513000000,295467055,94.0,41,Cerai hidup,perempuan
46,7,surat panggilan,37,228500000,533500000,3227483,43.0,55,Menikah,perempuan
47,1,sms or WA,7,4800000,19200000,318875,25.0,33,Cerai hidup,perempuan
48,20,datang ke tempat,46,138000000,810500000,100229023,17.0,33,Cerai hidup,laki-laki
49,25,datang ke tempat,60,388000000,1270500000,345489681,31.0,49,Menikah,perempuan
50,0,sms or WA,6,11800000,46100000,257391,26.0,56,Menikah,laki-laki
51,28,datang ke tempat,52,690000000,777500000,84607218,89.0,47,Cerai mati,laki-laki
52,15,panggilan,36,289000000,672000000,61810951,43.0,54,Cerai mati,perempuan
53,17,datang ke tempat,54,162000000,180000000,539463426,90.0,45,Cerai mati,laki-laki
54,4,sms or WA,17,105900000,107000000,173279,99.0,29,Cerai hidup,perempuan
55,24,datang ke tempat,66,426000000,1498500000,451245174,28.000000000000004,37,Belum menikah,perempuan
56,21,datang ke tempat,56,378000000,556000000,261547571,68.0,37,Cerai mati,laki-laki
57,5,sms or WA,7,51100000,51100000,322312,100.0,53,Belum menikah,laki-laki
58,21,datang ke tempat,49,208000000,863000000,121889830,24.0,63,Belum menikah,laki-laki
59,12,panggilan,37,89000000,633500000,52132205,14.000000000000002,57,Belum menikah,laki-laki
60,4,sms or WA,6,7100000,24300000,155849,29.0,41,Cerai mati,laki-laki
61,7,surat panggilan,30,188000000,436500000,1938677,43.0,51,Cerai hidup,perempuan
62,6,surat panggilan,30,89500000,162000000,2954243,55.00000000000001,51,Menikah,laki-laki
63,27,datang ke tempat,50,582000000,1039000000,378926263,56.00000000000001,47,Belum menikah,laki-laki
64,15,panggilan,36,391000000,625000000,28670220,63.0,33,Cerai hidup,perempuan
65,27,datang ke tempat,31,428000000,783500000,191745044,55.00000000000001,59,Menikah,perempuan
66,24,datang ke tempat,68,866000000,1249000000,369045287,69.0,35,Belum menikah,laki-laki
67,19,datang ke tempat,41,168000000,187000000,48743582,90.0,29,Belum menikah,laki-laki
68,19,datang ke tempat,64,1246000000,1805000000,615960169,69.0,46,Menikah,laki-laki
69,0,sms or WA,17,8600000,141800000,843130,6.0,38,Cerai mati,perempuan
70,28,datang ke tempat,60,292000000,747000000,472193078,39.0,36,Belum menikah,laki-laki
71,26,datang ke tempat,55,270000000,299000000,119190276,90.0,55,Cerai hidup,perempuan
72,12,panggilan,49,513000000,843500000,92939078,61.0,37,Belum menikah,perempuan
73,5,sms or WA,7,24800000,47500000,282002,52.0,49,Cerai mati,laki-laki
74,4,sms or WA,7,3300000,9000000,87812,37.0,35,Cerai hidup,perempuan
75,14,panggilan,39,89000000,95500000,26051224,93.0,46,Menikah,perempuan
76,9,surat panggilan,28,27500000,173000000,2552340,16.0,40,Cerai mati,laki-laki
77,3,sms or WA,16,54000000,143100000,568306,38.0,40,Belum menikah,perempuan
78,18,datang ke tempat,49,262000000,377000000,238328672,69.0,35,Cerai hidup,laki-laki
79,9,surat panggilan,22,31000000,191000000,2138346,16.0,49,Menikah,laki-laki
80,11,panggilan,34,330000000,515000000,44863796,64.0,30,Belum menikah,perempuan
81,24,datang ke tempat,65,757000000,757000000,530653277,100.0,56,Menikah,perempuan
82,6,surat panggilan,20,64500000,144500000,1584944,45.0,25,Belum menikah,perempuan
83,11,panggilan,46,555000000,886000000,68189498,63.0,35,Cerai mati,perempuan
84,11,panggilan,39,69000000,279500000,35095044,25.0,50,Cerai hidup,laki-laki
85,1,sms or WA,10,36400000,67900000,283985,54.0,23,Menikah,perempuan
86,23,datang ke tempat,42,922000000,1108500000,368873743,83.0,57,Cerai mati,perempuan
87,28,datang ke tempat,60,984000000,1806000000,223590970,54.0,49,Menikah,laki-laki
88,7,surat panggilan,25,39000000,68000000,1811274,56.99999999999999,38,Cerai mati,perempuan
89,16,datang ke tempat,65,1510000000,2230000000,187063834,68.0,23,Belum menikah,perempuan
90,18,datang ke tempat,65,604000000,1847500000,650779127,33.0,53,Cerai hidup,laki-laki
91,7,surat panggilan,31,52500000,82500000,2134412,64.0,54,Menikah,laki-laki
92,18,datang ke tempat,50,242000000,1408000000,64746223,17.0,38,Cerai mati,laki-laki
93,27,datang ke tempat,41,221500000,221500000,351332555,100.0,40,Menikah,perempuan
94,5,sms or WA,2,1300000,1700000,53099,76.0,41,Cerai mati,laki-laki
95,15,panggilan,39,238000000,680500000,72215125,35.0,55,Belum menikah,perempuan
96,6,surat panggilan,23,55500000,58000000,1438630,96.0,63,Cerai hidup,laki-laki
97,12,panggilan,37,311000000,535500000,26995055,57.99999999999999,44,Cerai hidup,perempuan
98,16,datang ke tempat,56,220000000,1933000000,275696334,11.0,60,Menikah,laki-laki
99,7,surat panggilan,32,91000000,184500000,2319489,49.0,24,Menikah,laki-laki
100,27,datang ke tempat,36,242000000,262500000,89568697,92.0,26,Cerai mati,laki-laki
101,22,datang ke tempat,69,738000000,1959000000,395381273,38.0,56,Belum menikah,perempuan
102,19,datang ke tempat,34,540000000,720500000,65536394,75.0,48,Menikah,laki-laki
103,12,panggilan,43,318000000,467500000,8888626,68.0,39,Belum menikah,perempuan
104,16,datang ke tempat,57,1086000000,1468500000,536234794,74.0,40,Cerai hidup,laki-laki
105,0,sms or WA,16,23800000,98900000,269192,24.0,55,Cerai mati,laki-laki
106,11,panggilan,46,383000000,866000000,82370808,44.0,56,Menikah,perempuan
107,28,datang ke tempat,31,136000000,1047500000,134074505,13.0,62,Cerai hidup,perempuan
108,9,surat panggilan,31,241500000,392500000,2295223,62.0,38,Cerai hidup,laki-laki
109,6,surat panggilan,37,112500000,550000000,3252387,20.0,40,Belum menikah,perempuan
110,13,panggilan,40,353000000,474000000,26662819,74.0,29,Menikah,perempuan
111,0,sms or WA,12,46100000,100900000,621105,46.0,48,Menikah,laki-laki
112,18,datang ke tempat,62,156000000,430000000,501324583,36.0,29,Cerai hidup,laki-laki
113,27,datang ke tempat,50,674000000,1663000000,140760583,41.0,48,Cerai hidup,laki-laki
114,6,surat panggilan,36,285500000,471000000,2788004,61.0,28,Menikah,laki-laki
115,5,sms or WA,17,18500000,28900000,341553,64.0,43,Menikah,perempuan
116,5,sms or WA,14,6500000,73900000,238815,9.0,54,Cerai mati,laki-laki
117,8,surat panggilan,23,64500000,75000000,2233173,86.0,50,Menikah,laki-laki
118,28,datang ke tempat,66,208000000,738000000,199189900,28.000000000000004,42,Menikah,perempuan
119,20,datang ke tempat,44,218000000,701500000,400665394,31.0,27,Menikah,laki-laki
120,1,sms or WA,1,3300000,4400000,57004,75.0,42,Belum menikah,perempuan
121,28,datang ke tempat,50,584000000,1099000000,121010053,53.0,49,Cerai mati,perempuan
122,14,panggilan,44,737000000,745000000,17538151,99.0,54,Cerai hidup,perempuan
123,27,datang ke tempat,43,93500000,93500000,397406015,100.0,61,Belum menikah,perempuan
124,6,surat panggilan,34,84500000,139000000,1903226,61.0,41,Cerai mati,perempuan
125,3,sms or WA,7,4500000,12100000,108930,37.0,41,Cerai mati,perempuan
126,7,surat panggilan,36,30500000,315000000,3100782,10.0,63,Cerai mati,laki-laki
127,17,datang ke tempat,32,734000000,941500000,283894818,78.0,53,Cerai hidup,perempuan
128,14,panggilan,37,258000000,355500000,40726437,73.0,59,Belum menikah,perempuan
129,1,sms or WA,13,78000000,108500000,347334,72.0,31,Belum menikah,perempuan
130,10,surat panggilan,21,23000000,45000000,1715108,51.0,23,Cerai hidup,perempuan
131,2,sms or WA,4,22100000,27600000,145520,80.0,34,Cerai mati,perempuan
132,23,datang ke tempat,69,171000000,171000000,626799344,100.0,62,Cerai hidup,laki-laki
133,21,datang ke tempat,56,666000000,680500000,446764306,98.0,55,Menikah,laki-laki
134,20,datang ke tempat,38,518000000,550000000,194161659,94.0,48,Belum menikah,perempuan
135,15,panggilan,32,43000000,99000000,38169823,43.0,30,Menikah,laki-laki
136,5,sms or WA,9,9600000,53000000,493791,18.0,25,Belum menikah,laki-laki
137,27,datang ke tempat,36,222000000,364500000,251214787,61.0,39,Belum menikah,perempuan
138,0,sms or WA,8,50900000,51400000,319558,99.0,32,Cerai mati,laki-laki
139,28,datang ke tempat,67,1152000000,1695500000,458908039,68.0,61,Cerai mati,perempuan
140,15,panggilan,39,285000000,379500000,22256529,75.0,60,Cerai mati,perempuan
141,6,surat panggilan,37,40000000,447500000,2830966,9.0,44,Cerai hidup,perempuan
142,26,datang ke tempat,50,742000000,1624000000,266070826,46.0,23,Cerai mati,laki-laki
143,11,panggilan,39,260000000,292500000,35297838,89.0,34,Cerai hidup,laki-laki
144,13,panggilan,39,256000000,275500000,46369246,93.0,38,Menikah,perempuan
145,26,datang ke tempat,30,122000000,133500000,227709321,91.0,26,Cerai hidup,laki-laki
146,8,surat panggilan,33,34000000,438000000,2386554,8.0,46,Cerai hidup,laki-laki
147,16,datang ke tempat,60,766000000,1149000000,69085094,67.0,54,Menikah,perempuan
148,2,sms or WA,10,31100000,46400000,108769,67.0,60,Cerai mati,laki-laki
149,17,datang ke tempat,69,904000000,2002500000,673875398,45.0,46,Menikah,laki-laki
150,15,panggilan,32,133000000,254000000,29775098,52.0,42,Belum menikah,laki-laki
151,4,sms or WA,15,12300000,36400000,719890,34.0,24,Cerai hidup,laki-laki
152,25,datang ke tempat,66,314000000,598500000,484525853,52.0,29,Menikah,laki-laki
153,14,panggilan,37,243000000,400500000,35596787,61.0,35,Cerai hidup,laki-laki
154,0,sms or WA,18,14100000,17700000,623697,80.0,37,Belum menikah,perempuan
155,0,sms or WA,5,33600000,45300000,238560,74.0,26,Cerai mati,laki-laki
156,21,datang ke tempat,33,520000000,937500000,336090358,55.00000000000001,25,Cerai hidup,laki-laki
157,10,surat panggilan,24,174000000,353500000,2027587,49.0,52,Cerai hidup,perempuan
158,18,datang ke tempat,49,138000000,336500000,394644967,41.0,41,Belum menikah,laki-laki
159,17,datang ke tempat,59,1228000000,1625500000,249362989,76.0,55,Belum menikah,perempuan
160,25,datang ke tempat,36,294000000,531000000,240140271,55.00000000000001,52,Belum menikah,perempuan
161,15,panggilan,49,107000000,132500000,84801625,81.0,39,Cerai mati,laki-laki
162,4,sms or WA,3,5800000,7600000,57973,76.0,61,Menikah,laki-laki
163,17,datang ke tempat,52,478000000,1667000000,343231701,29.0,60,Menikah,laki-laki
164,1,sms or WA,12,15500000,115500000,183034,13.0,32,Cerai mati,laki-laki
165,22,datang ke tempat,33,438000000,850500000,56533328,51.0,62,Cerai hidup,perempuan
166,22,datang ke tempat,46,160000000,963500000,136409666,17.0,59,Menikah,perempuan
167,22,datang ke tempat,60,778000000,1318500000,600416960,59.0,25,Menikah,laki-laki
168,13,panggilan,45,517000000,609500000,75167794,85.0,31,Belum menikah,perempuan
169,7,surat panggilan,22,91500000,229000000,1353702,40.0,41,Belum menikah,laki-laki
170,6,surat panggilan,35,162500000,223500000,1864719,73.0,40,Cerai hidup,laki-laki
171,20,datang ke tempat,45,182000000,1272000000,148797268,14.000000000000002,52,Cerai mati,laki-laki
172,15,panggilan,35,84000000,92500000,51815711,91.0,36,Cerai mati,perempuan
173,11,panggilan,47,121000000,612500000,49950851,20.0,60,Menikah,laki-laki
174,28,datang ke tempat,34,808000000,1134500000,123103228,71.0,63,Menikah,laki-laki
175,6,surat panggilan,32,107000000,148500000,3005265,72.0,25,Menikah,laki-laki
176,5,sms or WA,13,60500000,81800000,462570,74.0,30,Belum menikah,perempuan
177,22,datang ke tempat,47,162000000,329500000,157121563,49.0,62,Menikah,laki-laki
178,9,surat panggilan,28,53500000,54500000,2739205,98.0,53,Belum menikah,laki-laki
179,0,sms or WA,9,17900000,63300000,392095,28.000000000000004,48,Menikah,laki-laki
180,12,panggilan,30,296000000,414000000,14993090,71.0,52,Menikah,perempuan
181,29,datang ke tempat,39,1212000000,1234500000,309317343,98.0,45,Cerai hidup,laki-laki
182,1,sms or WA,6,21400000,44800000,338581,48.0,51,Belum menikah,perempuan
