,debtor_zip,debtor_rt,debtor_rw,debtor_birth_place,debtor_age,debtor_occupation,debtor_marital_status,debtor_gender,debtor_education_level,employment_type,number_of_dependents,net_income,payment_date,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,aging,credit_risk,loss_reverse
0,12188,6,10,"Bengkulu, 23-09-1997",26,Pengusaha,Menikah,perempuan,D3,Retired,3,15500000,4,62500000,21,2,1,670,0,11000000,DPK,Tertagih dengan resiko rendah,0
1,56126,20,20,"Jawa Tengah, 13-04-1964",59,Pengusaha,Menikah,laki-laki,D3,Full-time,3,17500000,8,70833333,18,31,3,402,1,17000000,DPK,Tertagih dengan resiko rendah,17708333
2,98101,2,15,"Jawa Tengah, 01-09-1981",42,Buruh,Cerai mati,laki-laki,D2,Full-time,4,17500000,8,59333333,17,0,0,505,0,14500000,Lancar,Tertagih dengan resiko rendah,0
3,76993,19,16,"Aceh, 14-02-1987",36,Pengusaha,Menikah,laki-laki,D2,Retired,3,15500000,7,61166667,17,64,5,508,1,11500000,DPK,Tertagih dengan resiko rendah,15291667
4,6297,1,1,"Gorontalo, 06-12-1998",25,Pegawai Swasta,Cerai hidup,laki-laki,SMA,Contract,5,8700000,9,56166667,15,14,2,371,0,5500000,DPK,Tertagih dengan resiko rendah,0
5,17655,8,9,"Sulawesi Tengah, 22-03-1972",51,Profesional,Cerai mati,perempuan,D3,Retired,4,10500000,4,60000000,16,11,2,389,0,4000000,DPK,Tertagih dengan resiko rendah,0
6,60416,2,12,"Sulawesi Tengah, 24-01-1971",52,Pengusaha,Cerai mati,perempuan,S1,Self-employed,2,25000000,5,138000000,29,19,2,435,0,15500000,DPK,Tidak tertagih dengan resiko rendah,0
7,178,7,12,"Sumatera Utara, 08-12-1970",53,Pengusaha,Cerai mati,laki-laki,D1,Retired,5,18500000,3,63666667,2,166,8,110,3,12000000,Diragukan,Tertagih dengan resiko tinggi,47750000
8,99838,16,7,"Jawa Timur, 10-08-1975",48,Pegawai Negeri,Cerai hidup,laki-laki,S2,Retired,4,21000000,1,67166667,12,79,6,185,2,9500000,DPK,Tertagih dengan resiko tinggi,33583333
9,59050,15,10,"Maluku Utara, 19-05-1969",54,Profesional,Belum menikah,laki-laki,SMA,Contract,7,8700000,8,51500000,10,124,8,348,3,9500000,Diragukan,Tertagih dengan resiko tinggi,38625000
10,6619,11,4,"Lampung, 08-02-1994",29,Pegawai Negeri,Cerai mati,laki-laki,S2,Contract,3,19000000,1,57000000,21,4,1,434,0,13000000,DPK,Tertagih dengan resiko rendah,0
11,5195,6,16,"Banten, 22-09-1974",49,Buruh,Menikah,perempuan,S3,Retired,3,18000000,6,57500000,25,20,1,582,1,10500000,DPK,Tertagih dengan resiko rendah,14375000
12,2343,6,15,"Jawa Tengah, 09-08-1980",43,Buruh,Menikah,perempuan,S3,Retired,3,18000000,4,69500000,11,136,9,296,3,7500000,Diragukan,Tertagih dengan resiko tinggi,52125000
13,70037,8,18,"Sumatera Selatan, 17-08-1979",44,Pegawai Swasta,Belum menikah,laki-laki,D1,Contract,3,5500000,7,57666667,13,49,3,363,1,6000000,DPK,Tertagih dengan resiko rendah,14416667
14,76479,3,3,"Bali, 24-09-1978",45,Buruh,Belum menikah,laki-laki,S1,Retired,2,18000000,5,65666667,2,104,9,265,2,3000000,Kurang lancar,Tertagih dengan resiko tinggi,32833333
