,debtor_gender,age,debtor_education_level,debtor_martial_status,employment_type,number_of_dependents,net_income,payment_date,loan_amount,avg_amounts_previous_bills,avg_previous_payment,amount_of_late,late_payment_amount,credit_risk,credit_score,arrears_amounts,aset,loss_reverse,aging
0,Wanita,80,D3,Sudah menikah,Retired,3,15500000.0,2023-04-18,15625000.0,29500000,24350000,2,1,Tertagih,670,0,11000000,0.0,DPK
1,Pria,44,D3,Sudah menikah,Full-time,3,17500000.0,2023-08-26,17708333.333333332,3000000,1600000,31,3,Tertagih,402,1,17000000,17708333.333333332,DPK
2,Pria,35,D2,Sudah menikah,Full-time,4,17500000.0,2023-08-03,14833333.333333334,13500000,9050000,0,0,Tertagih,505,0,14500000,0.0,Lancar
3,Wanita,53,D2,Sudah menikah,Retired,3,15500000.0,2023-07-02,15291666.666666666,10500000,8350000,64,5,Tertagih,508,1,11500000,15291666.666666666,DPK
4,Pria,24,SMA,Sudah menikah,Contract,5,8700000.0,2023-09-10,14041666.666666666,6500000,5750000,14,2,Tertagih,371,0,5500000,0.0,DPK
5,Wanita,78,D3,Sudah menikah,Retired,4,10500000.0,2023-04-26,15000000.0,11000000,7100000,11,2,Tertagih,389,0,4000000,0.0,DPK
6,Pria,41,S1,Sudah menikah,Self-employed,2,25000000.0,2023-05-19,34500000.0,39000000,34300000,19,2,Tertagih,435,0,15500000,0.0,DPK
7,Wanita,80,D1,Sudah menikah,Retired,5,18500000.0,2023-03-27,15916666.666666666,18000000,10500000,166,8,Tidak tertagih,110,3,12000000,47750000.0,Diragukan
8,Wanita,61,S2,Sudah menikah,Retired,4,21000000.0,2023-01-13,16791666.666666668,5000000,4600000,79,6,Tidak tertagih,185,2,9500000,33583333.333333336,DPK
9,Wanita,30,SMA,Sudah menikah,Contract,7,8700000.0,2023-08-04,12875000.0,12500000,8550000,124,8,Tidak tertagih,348,3,9500000,38625000.0,Diragukan
10,Pria,39,S2,Sudah menikah,Contract,3,19000000.0,2023-01-06,14250000.0,10500000,8150000,4,1,Tertagih,434,0,13000000,0.0,DPK
11,Wanita,55,S3,Sudah menikah,Retired,3,18000000.0,2023-06-10,14375000.0,8500000,7050000,20,1,Tertagih,582,1,10500000,14375000.0,DPK
12,Wanita,79,S3,Sudah menikah,Retired,3,18000000.0,2023-04-07,17375000.0,19500000,10050000,136,9,Tidak tertagih,296,3,7500000,52125000.0,Diragukan
13,Pria,25,D1,Sudah menikah,Contract,3,5500000.0,2023-07-04,14416666.666666666,6000000,4500000,49,3,Tertagih,363,1,6000000,14416666.666666666,DPK
14,Wanita,63,S1,Sudah menikah,Retired,2,18000000.0,2023-05-02,16416666.666666666,13000000,11700000,104,9,Tidak tertagih,265,2,3000000,32833333.33333333,Kurang lancar
15,Wanita,80,S1,Sudah menikah,Retired,2,18000000.0,2023-01-26,19541666.666666668,18000000,16600000,32,3,Tertagih,668,0,8500000,0.0,DPK
16,Pria,32,S2,Sudah menikah,Full-time,4,19000000.0,2023-09-18,14875000.0,18500000,10250000,109,6,Tidak tertagih,290,3,3500000,44625000.0,Kurang lancar
17,Wanita,53,D1,Sudah menikah,Retired,5,10500000.0,2023-05-24,15083333.333333334,8000000,6200000,152,8,Tidak tertagih,261,1,4000000,15083333.333333334,Diragukan
18,Pria,74,D2,Sudah menikah,Retired,4,10500000.0,2023-03-21,15291666.666666666,7500000,6950000,77,8,Tidak tertagih,371,1,5500000,15291666.666666666,DPK
19,Wanita,65,D1,Sudah menikah,Retired,5,18500000.0,2023-01-19,19416666.666666668,13500000,7450000,98,6,Tidak tertagih,183,2,10500000,38833333.333333336,Kurang lancar
