,time_to_collect,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,negotiation_skills,collector_experience
0,0,sms or WA,7,14400000,35700000,277706,40.0,Baik,4
1,11,panggilan,35,79000000,160500000,22382611,49.0,Buruk,0
2,4,sms or WA,6,7100000,26700000,205389,27.0,Buruk,0
3,29,datang ke tempat,63,782000000,1395000000,482942548,56.00000000000001,Cukup baik,2
4,22,datang ke tempat,35,346000000,485500000,151035603,71.0,Cukup baik,2
5,20,datang ke tempat,36,466000000,883500000,284316268,53.0,Cukup baik,2
6,17,datang ke tempat,48,492000000,837000000,464890525,59.0,Cukup baik,2
7,24,datang ke tempat,69,564000000,649500000,432161409,87.0,Cukup baik,2
8,6,surat panggilan,21,19500000,43000000,1769207,45.0,Buruk,0
9,20,datang ke tempat,53,236000000,1709500000,362025377,14.000000000000002,Buruk,0
10,23,datang ke tempat,48,650000000,715500000,157060396,91.0,Cukup baik,2
11,29,datang ke tempat,42,280000000,606000000,166751227,46.0,Cukup baik,2
12,0,sms or WA,17,30600000,75500000,419279,41.0,Buruk,0
13,16,datang ke tempat,61,286000000,1020500000,305352973,28.000000000000004,Buruk,0
14,22,datang ke tempat,69,176000000,831000000,558060691,21.0,Buruk,0
15,22,datang ke tempat,50,124000000,502000000,127228206,25.0,Buruk,0
16,20,datang ke tempat,55,185000000,185000000,195288735,100.0,Cukup baik,2
17,10,surat panggilan,24,72500000,153000000,1899226,47.0,Buruk,0
18,29,datang ke tempat,50,168000000,473500000,305034616,35.0,Buruk,0
19,0,sms or WA,16,25200000,41900000,668008,60.0,Baik,4
20,24,datang ke tempat,41,416000000,479500000,105962917,87.0,Cukup baik,2
21,29,datang ke tempat,43,368000000,740000000,229999237,50.0,Cukup baik,2
22,1,sms or WA,14,43800000,125500000,602604,35.0,Buruk,0
23,5,sms or WA,19,84400000,126300000,522330,67.0,Baik,4
24,15,panggilan,30,239000000,344000000,42217405,69.0,Baik,4
25,17,datang ke tempat,56,846000000,1928500000,284522568,44.0,Cukup baik,2
26,16,datang ke tempat,43,452000000,1223000000,181629135,37.0,Buruk,0
27,5,sms or WA,15,12100000,21500000,211975,56.00000000000001,Buruk,0
28,19,datang ke tempat,35,300000000,1040500000,279436686,29.0,Buruk,0
29,25,datang ke tempat,50,462000000,623500000,193612219,74.0,Cukup baik,2
30,7,surat panggilan,29,21500000,334000000,1986477,6.0,Buruk,0
31,25,datang ke tempat,64,208000000,1236500000,255873333,17.0,Buruk,0
32,23,datang ke tempat,31,228000000,642500000,284505506,35.0,Buruk,0
33,5,sms or WA,19,125300000,188600000,701029,66.0,Baik,4
34,23,datang ke tempat,50,248000000,650500000,58750749,38.0,Buruk,0
35,26,datang ke tempat,62,288000000,358000000,256704397,80.0,Cukup baik,2
36,9,surat panggilan,31,74500000,120000000,1840518,62.0,Baik,4
37,13,panggilan,43,193000000,482500000,21056445,40.0,Buruk,0
38,12,panggilan,36,264000000,461000000,71771042,56.99999999999999,Buruk,0
39,26,datang ke tempat,33,526000000,597000000,296643876,88.0,Cukup baik,2
40,23,datang ke tempat,36,98000000,228000000,191536981,43.0,Cukup baik,2
41,15,panggilan,38,69000000,522000000,14973954,13.0,Buruk,0
42,19,datang ke tempat,30,888000000,1009500000,217211037,88.0,Cukup baik,2
43,8,surat panggilan,36,28500000,68500000,2050729,42.0,Buruk,0
44,15,panggilan,40,184000000,312000000,26768368,59.0,Buruk,0
45,23,datang ke tempat,33,484000000,513000000,295467055,94.0,Cukup baik,2
46,7,surat panggilan,37,228500000,533500000,3227483,43.0,Buruk,0
47,1,sms or WA,7,4800000,19200000,318875,25.0,Buruk,0
48,20,datang ke tempat,46,138000000,810500000,100229023,17.0,Buruk,0
49,25,datang ke tempat,60,388000000,1270500000,345489681,31.0,Buruk,0
50,0,sms or WA,6,11800000,46100000,257391,26.0,Buruk,0
51,28,datang ke tempat,52,690000000,777500000,84607218,89.0,Cukup baik,2
52,15,panggilan,36,289000000,672000000,61810951,43.0,Buruk,0
53,17,datang ke tempat,54,162000000,180000000,539463426,90.0,Cukup baik,2
54,4,sms or WA,17,105900000,107000000,173279,99.0,Baik,4
55,24,datang ke tempat,66,426000000,1498500000,451245174,28.000000000000004,Buruk,0
56,21,datang ke tempat,56,378000000,556000000,261547571,68.0,Cukup baik,2
57,5,sms or WA,7,51100000,51100000,322312,100.0,Baik,4
58,21,datang ke tempat,49,208000000,863000000,121889830,24.0,Buruk,0
59,12,panggilan,37,89000000,633500000,52132205,14.000000000000002,Buruk,0
60,4,sms or WA,6,7100000,24300000,155849,29.0,Buruk,0
61,7,surat panggilan,30,188000000,436500000,1938677,43.0,Buruk,0
62,6,surat panggilan,30,89500000,162000000,2954243,55.00000000000001,Buruk,0
63,27,datang ke tempat,50,582000000,1039000000,378926263,56.00000000000001,Cukup baik,2
64,15,panggilan,36,391000000,625000000,28670220,63.0,Baik,4
65,27,datang ke tempat,31,428000000,783500000,191745044,55.00000000000001,Cukup baik,2
66,24,datang ke tempat,68,866000000,1249000000,369045287,69.0,Cukup baik,2
67,19,datang ke tempat,41,168000000,187000000,48743582,90.0,Cukup baik,2
68,19,datang ke tempat,64,1246000000,1805000000,615960169,69.0,Cukup baik,2
69,0,sms or WA,17,8600000,141800000,843130,6.0,Buruk,0
70,28,datang ke tempat,60,292000000,747000000,472193078,39.0,Buruk,0
71,26,datang ke tempat,55,270000000,299000000,119190276,90.0,Cukup baik,2
72,12,panggilan,49,513000000,843500000,92939078,61.0,Baik,4
73,5,sms or WA,7,24800000,47500000,282002,52.0,Baik,4
74,4,sms or WA,7,3300000,9000000,87812,37.0,Buruk,0
75,14,panggilan,39,89000000,95500000,26051224,93.0,Baik,4
76,9,surat panggilan,28,27500000,173000000,2552340,16.0,Buruk,0
77,3,sms or WA,16,54000000,143100000,568306,38.0,Buruk,0
78,18,datang ke tempat,49,262000000,377000000,238328672,69.0,Cukup baik,2
79,9,surat panggilan,22,31000000,191000000,2138346,16.0,Buruk,0
80,11,panggilan,34,330000000,515000000,44863796,64.0,Baik,4
81,24,datang ke tempat,65,757000000,757000000,530653277,100.0,Cukup baik,2
82,6,surat panggilan,20,64500000,144500000,1584944,45.0,Buruk,0
83,11,panggilan,46,555000000,886000000,68189498,63.0,Baik,4
84,11,panggilan,39,69000000,279500000,35095044,25.0,Buruk,0
85,1,sms or WA,10,36400000,67900000,283985,54.0,Baik,4
86,23,datang ke tempat,42,922000000,1108500000,368873743,83.0,Cukup baik,2
87,28,datang ke tempat,60,984000000,1806000000,223590970,54.0,Cukup baik,2
88,7,surat panggilan,25,39000000,68000000,1811274,56.99999999999999,Buruk,0
89,16,datang ke tempat,65,1510000000,2230000000,187063834,68.0,Cukup baik,2
90,18,datang ke tempat,65,604000000,1847500000,650779127,33.0,Buruk,0
91,7,surat panggilan,31,52500000,82500000,2134412,64.0,Baik,4
92,18,datang ke tempat,50,242000000,1408000000,64746223,17.0,Buruk,0
93,27,datang ke tempat,41,221500000,221500000,351332555,100.0,Cukup baik,2
94,5,sms or WA,2,1300000,1700000,53099,76.0,Baik,4
95,15,panggilan,39,238000000,680500000,72215125,35.0,Buruk,0
96,6,surat panggilan,23,55500000,58000000,1438630,96.0,Baik,4
97,12,panggilan,37,311000000,535500000,26995055,57.99999999999999,Buruk,0
