,avg_bill_methods,debtor_volume_handled,bill_amount_collected,total_actual,total_cost,success_rate,time_to_collect,collector_gender,collector_marital_status,collector_age
0,sms or WA,10,61600000,67200000,72549,92.0,0,laki-laki,Menikah,45
1,sms or WA,15,32800000,140200000,86235,23.0,3,perempuan,Cerai mati,32
2,sms or WA,10,38400000,55300000,99363,69.0,1,laki-laki,Cerai hidup,62
3,sms or WA,9,32500000,57400000,76118,56.99999999999999,1,perempuan,Cerai mati,55
4,sms or WA,6,21000000,25400000,61461,83.0,4,perempuan,Menikah,53
5,sms or WA,7,12800000,37200000,71842,34.0,4,laki-laki,Belum menikah,33
6,sms or WA,5,4100000,41100000,48652,10.0,1,perempuan,Cerai hidup,34
7,sms or WA,8,35500000,37700000,50586,94.0,3,laki-laki,Belum menikah,38
8,sms or WA,7,22400000,41700000,62241,54.0,3,perempuan,Menikah,54
9,sms or WA,9,48300000,65200000,82064,74.0,0,laki-laki,Cerai hidup,43
10,sms or WA,14,11300000,14500000,113156,78.0,1,perempuan,Menikah,46
11,sms or WA,10,60400000,83200000,59618,73.0,1,laki-laki,Menikah,34
12,sms or WA,11,25700000,31500000,114280,82.0,4,laki-laki,Menikah,32
13,sms or WA,14,39800000,110000000,88610,36.0,2,laki-laki,Menikah,48
14,sms or WA,10,20000000,24800000,90662,81.0,1,laki-laki,Cerai hidup,58
15,sms or WA,14,43300000,62900000,73975,69.0,4,perempuan,Belum menikah,59
16,sms or WA,1,900000,1100000,14250,82.0,3,perempuan,Cerai mati,35
17,sms or WA,15,8400000,16400000,77875,51.0,2,perempuan,Cerai mati,55
18,sms or WA,12,8200000,52700000,60258,16.0,0,perempuan,Menikah,52
19,sms or WA,1,3900000,8000000,19496,49.0,4,laki-laki,Menikah,34
20,sms or WA,9,22500000,58300000,66113,39.0,4,perempuan,Cerai mati,30
21,sms or WA,3,18200000,27800000,32372,65.0,1,perempuan,Cerai mati,50
22,sms or WA,17,38500000,169600000,169652,23.0,2,perempuan,Cerai mati,54
23,sms or WA,17,52100000,153600000,175935,34.0,3,laki-laki,Cerai mati,24
24,sms or WA,1,6900000,8600000,18650,80.0,1,laki-laki,Cerai hidup,25
25,sms or WA,7,16800000,17000000,42806,99.0,2,perempuan,Cerai mati,57
26,sms or WA,4,28800000,31400000,36812,92.0,4,laki-laki,Belum menikah,38
27,sms or WA,12,15700000,52400000,84858,30.0,2,perempuan,Belum menikah,62
28,sms or WA,13,71700000,122500000,109455,59.0,3,laki-laki,Belum menikah,38
29,sms or WA,3,1800000,2300000,39860,78.0,0,perempuan,Cerai hidup,34
30,sms or WA,15,12000000,14500000,116840,83.0,2,perempuan,Cerai hidup,36
31,sms or WA,1,900000,1200000,9053,75.0,4,perempuan,Belum menikah,33
32,sms or WA,10,39500000,64100000,57276,62.0,0,perempuan,Menikah,59
33,sms or WA,14,40300000,131100000,110254,31.0,3,perempuan,Cerai mati,37
34,sms or WA,9,9600000,31400000,51886,31.0,0,laki-laki,Cerai hidup,26
35,sms or WA,19,30500000,44600000,153376,68.0,3,perempuan,Menikah,44
36,sms or WA,2,6100000,7900000,24874,77.0,4,perempuan,Menikah,54
37,sms or WA,13,81600000,108000000,92063,76.0,1,laki-laki,Belum menikah,27
38,sms or WA,19,41900000,95400000,199415,44.0,2,perempuan,Cerai hidup,23
39,sms or WA,7,30000000,47000000,64833,64.0,4,perempuan,Cerai hidup,42
40,sms or WA,13,8900000,25600000,110229,35.0,0,perempuan,Belum menikah,23
41,sms or WA,10,4700000,22300000,55227,21.0,1,laki-laki,Cerai hidup,50
42,sms or WA,6,5600000,9200000,33971,61.0,4,perempuan,Cerai hidup,24
43,sms or WA,11,15500000,77400000,104382,20.0,4,laki-laki,Menikah,24
44,sms or WA,8,19400000,46200000,70253,42.0,1,laki-laki,Cerai hidup,33
45,sms or WA,15,76500000,78700000,148085,97.0,3,perempuan,Cerai hidup,41
46,sms or WA,18,122200000,176600000,147573,69.0,1,perempuan,Menikah,55
47,sms or WA,10,8000000,21300000,89384,38.0,1,perempuan,Cerai hidup,33
48,sms or WA,9,76400000,81700000,79350,94.0,2,laki-laki,Cerai hidup,33
49,sms or WA,12,23800000,78600000,78503,30.0,2,perempuan,Menikah,49
50,sms or WA,13,6100000,7600000,139708,80.0,1,laki-laki,Menikah,56
51,sms or WA,12,32100000,32600000,122566,98.0,4,laki-laki,Cerai mati,47
52,sms or WA,16,78600000,120200000,81004,65.0,1,perempuan,Cerai mati,54
53,sms or WA,9,13100000,14300000,47153,92.0,1,laki-laki,Cerai mati,45
54,sms or WA,10,33200000,53400000,107516,62.0,1,perempuan,Cerai hidup,29
55,sms or WA,2,5600000,7000000,16480,80.0,3,perempuan,Belum menikah,37
56,sms or WA,4,10300000,29200000,49061,35.0,0,laki-laki,Cerai mati,37
57,sms or WA,9,4000000,11400000,96687,35.0,4,laki-laki,Belum menikah,53
58,sms or WA,4,9900000,10900000,33923,91.0,0,laki-laki,Belum menikah,63
59,sms or WA,13,64400000,75100000,127680,86.0,4,laki-laki,Belum menikah,57
60,sms or WA,5,25200000,37000000,36310,68.0,4,laki-laki,Cerai mati,41
61,sms or WA,1,700000,5100000,13746,14.000000000000002,0,perempuan,Cerai hidup,51
62,sms or WA,19,74000000,173700000,105136,43.0,2,laki-laki,Menikah,51
63,sms or WA,1,2000000,7600000,15242,26.0,3,laki-laki,Belum menikah,47
64,sms or WA,4,29300000,35700000,32772,82.0,3,perempuan,Cerai hidup,33
65,sms or WA,9,29500000,70300000,60258,42.0,4,perempuan,Menikah,59
66,sms or WA,11,12200000,15600000,62020,78.0,4,laki-laki,Belum menikah,35
67,sms or WA,18,26900000,102500000,141940,26.0,0,laki-laki,Belum menikah,29
68,sms or WA,4,13400000,20500000,34950,65.0,2,laki-laki,Menikah,46
69,sms or WA,1,3900000,3900000,13383,100.0,0,perempuan,Cerai mati,38
70,sms or WA,9,18700000,73700000,91362,25.0,1,laki-laki,Belum menikah,36
71,sms or WA,15,20100000,45400000,125413,44.0,2,perempuan,Cerai hidup,55
72,sms or WA,11,87600000,107800000,88236,81.0,2,perempuan,Belum menikah,37
73,sms or WA,7,29800000,63600000,42723,47.0,0,laki-laki,Cerai mati,49
74,sms or WA,7,21200000,41200000,50086,51.0,3,perempuan,Cerai hidup,35
75,sms or WA,5,4700000,16600000,34524,28.000000000000004,4,perempuan,Menikah,46
76,sms or WA,14,12000000,36100000,95667,33.0,0,laki-laki,Cerai mati,40
77,sms or WA,13,77400000,126500000,138110,61.0,2,perempuan,Belum menikah,40
78,sms or WA,12,58100000,83100000,79555,70.0,2,laki-laki,Cerai hidup,35
79,sms or WA,8,9100000,13300000,87519,68.0,2,laki-laki,Menikah,49
80,sms or WA,11,8800000,29800000,112202,30.0,3,perempuan,Belum menikah,30
81,sms or WA,7,10000000,22200000,77887,45.0,1,perempuan,Menikah,56
82,sms or WA,9,35900000,74000000,57576,49.0,2,perempuan,Belum menikah,25
83,sms or WA,16,13100000,149400000,91408,9.0,3,perempuan,Cerai mati,35
84,sms or WA,19,29500000,113500000,135961,26.0,3,laki-laki,Cerai hidup,50
85,sms or WA,18,25300000,30800000,141505,82.0,3,perempuan,Menikah,23
86,sms or WA,9,22900000,27900000,71758,82.0,1,perempuan,Cerai mati,57
87,sms or WA,11,25300000,68900000,76431,37.0,4,laki-laki,Menikah,49
88,sms or WA,6,47400000,53800000,63013,88.0,2,perempuan,Cerai mati,38
89,sms or WA,2,4300000,10000000,14140,43.0,1,perempuan,Belum menikah,23
90,sms or WA,8,5900000,31900000,66727,18.0,4,laki-laki,Cerai hidup,53
91,sms or WA,4,4500000,32500000,38312,14.000000000000002,4,laki-laki,Menikah,54
92,sms or WA,13,38100000,110700000,137716,34.0,0,laki-laki,Cerai mati,38
93,sms or WA,6,9400000,48500000,40404,19.0,4,perempuan,Menikah,40
94,sms or WA,6,5700000,23400000,37941,24.0,0,laki-laki,Cerai mati,41
95,sms or WA,4,30900000,34800000,43068,89.0,1,perempuan,Belum menikah,55
96,sms or WA,10,9900000,42200000,80525,23.0,2,laki-laki,Cerai hidup,63
97,sms or WA,13,30800000,33800000,108861,91.0,2,perempuan,Cerai hidup,44
98,sms or WA,12,29200000,70400000,60195,41.0,3,laki-laki,Menikah,60
99,sms or WA,19,45100000,78100000,165038,57.99999999999999,1,laki-laki,Menikah,24
100,sms or WA,16,11100000,87900000,126243,13.0,2,laki-laki,Cerai mati,26
101,sms or WA,10,20500000,70200000,64450,28.999999999999996,2,perempuan,Belum menikah,56
102,sms or WA,18,54700000,137200000,150251,40.0,4,laki-laki,Menikah,48
103,sms or WA,11,6700000,10200000,108165,66.0,3,perempuan,Belum menikah,39
104,sms or WA,10,32000000,59300000,57606,54.0,1,laki-laki,Cerai hidup,40
105,sms or WA,2,3900000,6300000,19748,62.0,1,laki-laki,Cerai mati,55
106,sms or WA,11,8500000,12900000,92193,66.0,3,perempuan,Menikah,56
107,sms or WA,5,13100000,30900000,43762,42.0,3,perempuan,Cerai hidup,62
108,sms or WA,5,14700000,36200000,53904,41.0,0,laki-laki,Cerai hidup,38
109,sms or WA,19,20300000,71300000,106358,28.000000000000004,4,perempuan,Belum menikah,40
110,sms or WA,3,2400000,3700000,15765,65.0,4,perempuan,Menikah,29
111,sms or WA,14,106400000,124600000,116152,85.0,4,laki-laki,Menikah,48
112,sms or WA,6,46900000,58700000,37007,80.0,2,laki-laki,Cerai hidup,29
113,sms or WA,1,500000,500000,13138,100.0,2,laki-laki,Cerai hidup,48
114,sms or WA,2,7600000,17700000,10307,43.0,4,laki-laki,Menikah,28
115,sms or WA,8,38000000,48000000,49759,79.0,0,perempuan,Menikah,43
116,sms or WA,9,8800000,14600000,45848,60.0,2,laki-laki,Cerai mati,54
117,sms or WA,16,13200000,47800000,112062,28.000000000000004,0,laki-laki,Menikah,50
118,sms or WA,15,37300000,110500000,140431,34.0,1,perempuan,Menikah,42
119,sms or WA,15,70800000,103700000,148095,68.0,2,laki-laki,Menikah,27
120,sms or WA,3,12800000,19300000,29610,66.0,2,perempuan,Belum menikah,42
121,sms or WA,6,44300000,58400000,57481,76.0,4,perempuan,Cerai mati,49
122,sms or WA,5,2500000,3000000,36458,83.0,3,perempuan,Cerai hidup,54
123,sms or WA,10,15200000,35600000,103409,43.0,3,perempuan,Belum menikah,61
124,sms or WA,6,5700000,42800000,68865,13.0,1,perempuan,Cerai mati,41
125,sms or WA,1,4700000,9600000,6223,49.0,3,perempuan,Cerai mati,41
126,sms or WA,6,8300000,19100000,48834,43.0,3,laki-laki,Cerai mati,63
127,sms or WA,6,19800000,29700000,68926,67.0,0,perempuan,Cerai hidup,53
128,sms or WA,9,4100000,56700000,57529,7.000000000000001,4,perempuan,Belum menikah,59
129,sms or WA,9,8400000,12700000,94221,66.0,2,perempuan,Belum menikah,31
130,sms or WA,4,13200000,14100000,45528,94.0,4,perempuan,Cerai hidup,23
131,sms or WA,4,19200000,37900000,42149,51.0,3,perempuan,Cerai mati,34
132,sms or WA,11,21000000,99400000,119414,21.0,3,laki-laki,Cerai hidup,62
133,sms or WA,6,35900000,40000000,52010,90.0,3,laki-laki,Menikah,55
134,sms or WA,18,16900000,41700000,94783,41.0,3,perempuan,Belum menikah,48
135,sms or WA,3,17400000,17800000,27398,98.0,4,laki-laki,Menikah,30
136,sms or WA,16,7400000,11900000,94436,62.0,2,laki-laki,Belum menikah,25
137,sms or WA,13,12200000,73400000,111449,17.0,2,perempuan,Belum menikah,39
138,sms or WA,1,1200000,1700000,13564,71.0,2,laki-laki,Cerai mati,32
139,sms or WA,12,19300000,39400000,118825,49.0,0,perempuan,Cerai mati,61
140,sms or WA,1,1600000,2200000,7704,73.0,1,perempuan,Cerai mati,60
141,sms or WA,17,27500000,48500000,131869,56.99999999999999,0,perempuan,Cerai hidup,44
142,sms or WA,6,46800000,58800000,59746,80.0,1,laki-laki,Cerai mati,23
143,sms or WA,1,1600000,2700000,19403,59.0,3,laki-laki,Cerai hidup,34
144,sms or WA,5,3100000,46100000,34887,7.000000000000001,2,perempuan,Menikah,38
145,sms or WA,15,46100000,59500000,83904,77.0,0,laki-laki,Cerai hidup,26
146,sms or WA,15,60000000,129500000,97819,46.0,3,laki-laki,Cerai hidup,46
147,sms or WA,4,15300000,35900000,42868,43.0,3,perempuan,Menikah,54
148,sms or WA,14,46600000,53400000,136309,87.0,3,laki-laki,Cerai mati,60
149,sms or WA,16,92400000,115300000,144025,80.0,1,laki-laki,Menikah,46
150,sms or WA,8,27400000,45000000,59288,61.0,0,laki-laki,Belum menikah,42
151,sms or WA,2,7400000,18400000,10457,40.0,3,laki-laki,Cerai hidup,24
152,sms or WA,1,1100000,1900000,9392,57.99999999999999,0,laki-laki,Menikah,29
153,sms or WA,3,27200000,28100000,20405,97.0,4,laki-laki,Cerai hidup,35
154,sms or WA,14,5800000,12000000,138478,48.0,1,perempuan,Belum menikah,37
155,sms or WA,11,16900000,23400000,103917,72.0,4,laki-laki,Cerai mati,26
156,sms or WA,17,26500000,162200000,95902,16.0,4,laki-laki,Cerai hidup,25
