,net_income,loan_amount,amount_of_late,late_payment_amount,credit_score,arrears_amounts,loss_reverse,credit_risk
0,15500000.0,62500000.0,2.0,1.0,670.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
1,17500000.0,70833333.33333333,31.0,3.0,402.0,1.0,17708333.333333332,Tidak tertagih dengan resiko tinggi
2,17500000.0,59333333.333333336,0.0,0.0,505.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
3,15500000.0,61166666.66666666,64.0,5.0,508.0,1.0,15291666.666666666,Tidak tertagih dengan resiko tinggi
4,8700000.0,56166666.66666666,14.0,2.0,371.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
5,10500000.0,60000000.0,10.999999999999993,2.0,389.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
6,25000000.0,138000000.0,19.0,2.0,435.0,0.0,0.0,Tidak tertagih dengan resiko rendah
7,18500000.0,63666666.66666666,166.0,8.0,110.0,3.0,47750000.0,Tertagih dengan resiko tinggi
8,21000000.0,67166666.66666667,79.0,6.0,185.0,2.0,33583333.333333336,Tertagih dengan resiko tinggi
9,8700000.0,51500000.0,124.0,8.0,348.0,3.0,38625000.0,Tertagih dengan resiko tinggi
10,19000000.0,57000000.0,4.0,1.0,434.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
11,18000000.0,57500000.0,19.999999999999993,1.0,582.0,1.0,14375000.0,Tidak tertagih dengan resiko tinggi
12,18000000.0,69500000.0,136.0,9.0,296.0,3.0,52125000.0,Tertagih dengan resiko tinggi
13,5500000.0,57666666.66666666,49.0,3.0,363.0,1.0,14416666.666666666,Tidak tertagih dengan resiko tinggi
14,18000000.0,65666666.66666666,104.0,9.0,265.0,2.0,32833333.33333333,Tertagih dengan resiko tinggi
15,18000000.0,78166666.66666667,32.0,3.0,668.0,0.0,0.0,Tidak tertagih dengan resiko tinggi
16,19000000.0,59500000.0,109.0,6.0,290.0,3.0,44625000.0,Tertagih dengan resiko tinggi
17,10500000.0,60333333.333333336,152.0,8.0,261.0,1.0,15083333.333333334,Tidak tertagih dengan resiko tinggi
18,10500000.0,61166666.66666666,77.0,8.0,371.0,1.0,15291666.666666666,Tidak tertagih dengan resiko tinggi
19,18500000.0,77666666.66666667,98.0,6.0,183.0,2.0,38833333.333333336,Tertagih dengan resiko tinggi
