,net_income,loan_amount,amount_of_late,late_payment_amount,credit_score,arrears_amounts,loss_reverse
0,15500000.0,62500000.0,2.0,1.0,670.0,0.0,0.0
1,17500000.0,70833333.0,31.0,3.0,402.0,1.0,17708333.0
2,17500000.0,59333333.0,0.0,0.0,505.0,0.0,0.0
3,15500000.0,61166667.0,64.0,5.0,508.0,1.0,15291667.0
4,8700000.0,56166667.0,14.0,2.0,371.0,0.0,0.0
5,10500000.0,60000000.0,10.999999999999993,2.0,389.0,0.0,0.0
6,25000000.0,138000000.0,19.0,2.0,435.0,0.0,0.0
7,18500000.0,63666667.0,166.0,8.0,110.0,3.0,47750000.0
8,21000000.0,67166667.0,79.0,6.0,185.0,2.0,33583333.0
9,8700000.0,51500000.0,124.0,8.0,348.0,3.0,38625000.0
10,19000000.0,57000000.0,4.0,1.0,434.0,0.0,0.0
11,18000000.0,57500000.0,19.999999999999993,1.0,582.0,1.0,14375000.0
12,18000000.0,69500000.0,136.0,9.0,296.0,3.0,52125000.0
13,5500000.0,57666667.0,49.0,3.0,363.0,1.0,14416667.0
14,18000000.0,65666667.0,104.0,9.0,265.0,2.0,32833333.0
15,18000000.0,78166667.0,32.0,3.0,668.0,0.0,0.0
16,19000000.0,59500000.0,109.0,6.0,290.0,3.0,44625000.0
17,10500000.0,60333333.0,152.0,8.0,261.0,1.0,15083333.0
18,10500000.0,61166667.0,77.0,8.0,371.0,1.0,15291667.0
19,18500000.0,77666667.0,98.0,6.0,183.0,2.0,38833333.0
20,14000000.0,63000000.0,27.0,2.0,424.0,1.0,15750000.0
21,10500000.0,65166667.0,44.0,2.0,380.0,1.0,16291667.0
22,13000000.0,55333333.0,76.0,4.0,316.0,1.0,13833333.0
23,13000000.0,49000000.0,39.0,2.0,488.0,1.0,12250000.0
24,23000000.0,55666667.0,140.0,9.0,156.0,2.0,27833333.0
25,13000000.0,59666667.0,0.0,0.0,474.0,0.0,0.0
26,18000000.0,69333333.0,78.0,3.0,104.0,2.0,34666667.0
27,2600000.0,21166667.0,56.0,6.0,8.0,1.0,5291667.0
28,13000000.0,58666667.0,59.0,3.0,410.0,2.0,29333333.0
29,5500000.0,61166667.0,59.0,4.0,365.0,1.0,15291667.0
30,10500000.0,61833333.0,34.0,3.0,346.0,1.0,15458333.0
31,18000000.0,50333333.0,81.0,5.0,573.0,2.0,25166667.0
32,25500000.0,140000000.0,140.0,8.0,355.0,2.0,70000000.0
33,10500000.0,63000000.0,40.0,2.0,325.0,1.0,15750000.0
34,15500000.0,43500000.0,0.0,0.0,656.0,0.0,0.0
35,13000000.0,55166667.0,27.0,2.0,326.0,1.0,13791667.0
36,10500000.0,59000000.0,95.0,6.0,288.0,1.0,14750000.0
37,29000000.0,137166667.0,59.0,3.0,229.0,2.0,68583333.0
38,12500000.0,60333333.0,19.0,1.0,369.0,1.0,15083333.0
39,7700000.0,59500000.0,74.0,4.0,450.0,2.0,29750000.0
40,13000000.0,63833333.0,16.0,3.0,372.0,0.0,0.0
41,2600000.0,20166667.0,150.0,11.0,17.0,3.0,15125000.0
42,17500000.0,64333333.0,186.0,8.0,205.0,4.0,64333333.0
43,17500000.0,88500000.0,15.0,1.0,619.0,1.0,22125000.0
44,18000000.0,80333333.0,12.0,2.0,433.0,0.0,0.0
45,10500000.0,59666667.0,66.0,4.0,356.0,1.0,14916667.0
46,15500000.0,47166667.0,144.0,9.0,154.0,2.0,23583333.0
47,15500000.0,91833333.0,118.0,8.0,117.0,1.0,22958333.0
48,8700000.0,55333333.0,23.0,1.0,266.0,1.0,13833333.0
49,13000000.0,55833333.0,0.0,0.0,367.0,0.0,0.0
50,13000000.0,56500000.0,49.0,3.0,306.0,1.0,14125000.0
51,9700000.0,68500000.0,8.0,2.0,449.0,0.0,0.0
52,15500000.0,55166667.0,29.0,2.0,559.0,1.0,13791667.0
53,13700000.0,51666667.0,28.0,2.0,340.0,1.0,12916667.0
54,10500000.0,64166667.0,51.0,2.0,348.0,1.0,16041667.0
55,13700000.0,59333333.0,24.0,2.0,477.0,1.0,14833333.0
56,15500000.0,66333333.0,91.0,5.0,156.0,3.0,49750000.0
57,10500000.0,56166667.0,104.0,7.0,376.0,3.0,42125000.0
58,18000000.0,49166667.0,133.0,8.0,104.0,4.0,49166667.0
59,28000000.0,135333333.0,9.0,2.0,649.0,0.0,0.0
60,13000000.0,64500000.0,55.0,5.0,424.0,2.0,32250000.0
61,10500000.0,56333333.0,19.999999999999993,1.0,314.0,1.0,14083333.0
62,9700000.0,56833333.0,17.0,1.0,433.0,1.0,14208333.0
63,19000000.0,54166667.0,33.0,2.0,695.0,1.0,13541667.0
64,15500000.0,68833333.0,126.0,6.0,151.0,4.0,68833333.0
65,10700000.0,58166667.0,7.000000000000007,1.0,345.0,0.0,0.0
66,22000000.0,68500000.0,144.0,8.0,210.0,1.0,17125000.0
67,15500000.0,61500000.0,203.0,10.0,298.0,6.0,92250000.0
68,20000000.0,65666667.0,128.0,8.0,229.0,2.0,32833333.0
69,28000000.0,135000000.0,34.0,2.0,486.0,1.0,33750000.0
70,13700000.0,60000000.0,107.0,4.0,444.0,1.0,15000000.0
71,10500000.0,59166667.0,97.0,4.0,372.0,1.0,14791667.0
72,200000.0,23333333.0,160.0,9.0,64.0,5.0,29166667.0
73,22500000.0,67333333.0,93.0,7.0,188.0,1.0,16833333.0
74,24000000.0,73833333.0,83.0,6.0,242.0,1.0,18458333.0
75,18000000.0,65166667.0,3.0,1.0,691.0,0.0,0.0
76,17500000.0,55666667.0,103.0,6.0,299.0,2.0,27833333.0
77,200000.0,22500000.0,93.0,5.0,37.0,2.0,11250000.0
78,16500000.0,64000000.0,38.0,2.0,657.0,1.0,16000000.0
79,21000000.0,64666667.0,22.0,3.0,440.0,0.0,0.0
80,25500000.0,140166667.0,134.0,9.0,158.0,2.0,70083333.0
81,15500000.0,58833333.0,163.0,8.0,253.0,3.0,44125000.0
82,24000000.0,60333333.0,117.0,6.0,545.0,2.0,30166667.0
83,22500000.0,45833333.0,0.0,0.0,481.0,0.0,0.0
84,14700000.0,60166667.0,21.0,1.0,268.0,1.0,15041667.0
85,10500000.0,59666667.0,14.0,1.0,244.0,0.0,0.0
86,10500000.0,58333333.0,12.0,1.0,357.0,0.0,0.0
87,18000000.0,64000000.0,83.0,6.0,245.0,2.0,32000000.0
88,25500000.0,138500000.0,157.0,10.0,221.0,2.0,69250000.0
89,19500000.0,64000000.0,94.0,5.0,215.0,2.0,32000000.0
90,10500000.0,60000000.0,4.0,1.0,253.0,0.0,0.0
91,19000000.0,66333333.0,86.0,5.0,552.0,2.0,33166667.0
92,10500000.0,64166667.0,5.0,1.0,396.0,0.0,0.0
93,10500000.0,58833333.0,47.0,2.0,404.0,1.0,14708333.0
94,12700000.0,59666667.0,130.0,7.0,457.0,4.0,59666667.0
95,13000000.0,59833333.0,33.0,2.0,361.0,1.0,14958333.0
96,22500000.0,67000000.0,71.0,6.0,273.0,1.0,16750000.0
97,9700000.0,60666667.0,0.0,0.0,318.0,0.0,0.0
98,18000000.0,58333333.0,137.0,6.0,163.0,2.0,29166667.0
