,number_of_dependents,net_income,loan_amount,tenor,amount_of_late,late_payment_amount,credit_score,arrears_amounts,aset,debtor_education_level,aging,loss_reverse
0,3.0,15500000.0,62500000.0,21.0,2.0,1.0,670.0,0.0,11000000.0,D3,DPK,0.0
1,3.0,17500000.0,70833333.0,18.0,31.0,3.0,402.0,1.0,17000000.0,D3,DPK,17708333.0
2,4.0,17500000.0,59333333.0,17.0,0.0,0.0,505.0,0.0,14500000.0,D2,Lancar,0.0
3,3.0,15500000.0,61166667.0,17.0,64.0,5.0,508.0,1.0,11500000.0,D2,DPK,15291667.0
4,5.0,8700000.0,56166667.0,15.0,14.0,2.0,371.0,0.0,5500000.0,SMA,DPK,0.0
5,4.0,10500000.0,60000000.0,16.0,10.999999999999993,2.0,389.0,0.0,4000000.0,D3,DPK,0.0
6,2.0,25000000.0,138000000.0,29.0,19.0,2.0,435.0,0.0,15500000.0,S1,DPK,0.0
7,5.0,18500000.0,63666667.0,2.0,166.0,8.0,110.0,3.0,12000000.0,D1,Diragukan,47750000.0
8,4.0,21000000.0,67166667.0,12.0,79.0,6.0,185.0,2.0,9500000.0,S2,DPK,33583333.0
9,7.0,8700000.0,51500000.0,10.0,124.0,8.0,348.0,3.0,9500000.0,SMA,Diragukan,38625000.0
10,3.0,19000000.0,57000000.0,21.0,4.0,1.0,434.0,0.0,13000000.0,S2,DPK,0.0
11,3.0,18000000.0,57500000.0,25.0,19.999999999999993,1.0,582.0,1.0,10500000.0,S3,DPK,14375000.0
12,3.0,18000000.0,69500000.0,11.0,136.0,9.0,296.0,3.0,7500000.0,S3,Diragukan,52125000.0
13,3.0,5500000.0,57666667.0,13.0,49.0,3.0,363.0,1.0,6000000.0,D1,DPK,14416667.0
14,2.0,18000000.0,65666667.0,2.0,104.0,9.0,265.0,2.0,3000000.0,S1,Kurang lancar,32833333.0
15,2.0,18000000.0,78166667.0,19.0,32.0,3.0,668.0,0.0,8500000.0,S1,DPK,0.0
16,4.0,19000000.0,59500000.0,8.0,109.0,6.0,290.0,3.0,3500000.0,S2,Kurang lancar,44625000.0
17,5.0,10500000.0,60333333.0,8.0,152.0,8.0,261.0,1.0,4000000.0,D1,Diragukan,15083333.0
18,4.0,10500000.0,61166667.0,10.0,77.0,8.0,371.0,1.0,5500000.0,D2,DPK,15291667.0
19,5.0,18500000.0,77666667.0,6.0,98.0,6.0,183.0,2.0,10500000.0,D1,Kurang lancar,38833333.0
20,4.0,14000000.0,63000000.0,10.0,27.0,2.0,424.0,1.0,4500000.0,S2,DPK,15750000.0
21,5.0,10500000.0,65166667.0,6.0,44.0,2.0,380.0,1.0,8000000.0,D2,DPK,16291667.0
22,2.0,13000000.0,55333333.0,19.0,76.0,4.0,316.0,1.0,4500000.0,S1,DPK,13833333.0
23,4.0,13000000.0,49000000.0,19.0,39.0,2.0,488.0,1.0,9000000.0,S2,DPK,12250000.0
24,3.0,23000000.0,55666667.0,7.0,140.0,9.0,156.0,2.0,6000000.0,S2,Diragukan,27833333.0
25,3.0,13000000.0,59666667.0,17.0,0.0,0.0,474.0,0.0,4500000.0,S2,Lancar,0.0
26,4.0,18000000.0,69333333.0,11.0,78.0,3.0,104.0,2.0,9000000.0,S1,DPK,34666667.0
27,6.0,2600000.0,21166667.0,2.0,56.0,6.0,8.0,1.0,4000000.0,SMP,DPK,5291667.0
28,3.0,13000000.0,58666667.0,11.0,59.0,3.0,410.0,2.0,6000000.0,S1,DPK,29333333.0
29,4.0,5500000.0,61166667.0,3.0,59.0,4.0,365.0,1.0,6500000.0,D1,DPK,15291667.0
30,4.0,10500000.0,61833333.0,4.0,34.0,3.0,346.0,1.0,6000000.0,D3,DPK,15458333.0
31,3.0,18000000.0,50333333.0,19.0,81.0,5.0,573.0,2.0,8000000.0,S1,DPK,25166667.0
32,4.0,25500000.0,140000000.0,17.0,140.0,8.0,355.0,2.0,13000000.0,D1,Diragukan,70000000.0
33,3.0,10500000.0,63000000.0,1.0,40.0,2.0,325.0,1.0,5000000.0,D3,DPK,15750000.0
34,3.0,15500000.0,43500000.0,25.0,0.0,0.0,656.0,0.0,14500000.0,D3,Lancar,0.0
35,2.0,13000000.0,55166667.0,8.0,27.0,2.0,326.0,1.0,8500000.0,S1,DPK,13791667.0
36,3.0,10500000.0,59000000.0,11.0,95.0,6.0,288.0,1.0,4500000.0,D3,Kurang lancar,14750000.0
37,2.0,29000000.0,137166667.0,32.0,59.0,3.0,229.0,2.0,8000000.0,S1,DPK,68583333.0
38,4.0,12500000.0,60333333.0,12.0,19.0,1.0,369.0,1.0,6000000.0,D3,DPK,15083333.0
39,2.0,7700000.0,59500000.0,12.0,74.0,4.0,450.0,2.0,5500000.0,SMA,DPK,29750000.0
40,2.0,13000000.0,63833333.0,2.0,16.0,3.0,372.0,0.0,5500000.0,S2,DPK,0.0
41,2.0,2600000.0,20166667.0,2.0,150.0,11.0,17.0,3.0,15000000.0,SD,Diragukan,15125000.0
42,4.0,17500000.0,64333333.0,7.0,186.0,8.0,205.0,4.0,7000000.0,D3,Macet,64333333.0
43,3.0,17500000.0,88500000.0,18.0,15.0,1.0,619.0,1.0,15000000.0,D1,DPK,22125000.0
44,2.0,18000000.0,80333333.0,19.0,12.0,2.0,433.0,0.0,8000000.0,S1,DPK,0.0
45,4.0,10500000.0,59666667.0,7.0,66.0,4.0,356.0,1.0,8500000.0,D3,DPK,14916667.0
46,5.0,15500000.0,47166667.0,5.0,144.0,9.0,154.0,2.0,12000000.0,D3,Diragukan,23583333.0
47,3.0,15500000.0,91833333.0,12.0,118.0,8.0,117.0,1.0,6500000.0,D3,Kurang lancar,22958333.0
48,5.0,8700000.0,55333333.0,15.0,23.0,1.0,266.0,1.0,6500000.0,SMA,DPK,13833333.0
49,4.0,13000000.0,55833333.0,11.0,0.0,0.0,367.0,0.0,8500000.0,S2,Lancar,0.0
50,2.0,13000000.0,56500000.0,6.0,49.0,3.0,306.0,1.0,5500000.0,S1,DPK,14125000.0
51,5.0,9700000.0,68500000.0,13.0,8.0,2.0,449.0,0.0,6000000.0,SMA,DPK,0.0
52,3.0,15500000.0,55166667.0,21.0,29.0,2.0,559.0,1.0,19500000.0,D2,DPK,13791667.0
53,1.0,13700000.0,51666667.0,15.0,28.0,2.0,340.0,1.0,6000000.0,SMA,DPK,12916667.0
54,5.0,10500000.0,64166667.0,1.0,51.0,2.0,348.0,1.0,9000000.0,D1,DPK,16041667.0
55,1.0,13700000.0,59333333.0,17.0,24.0,2.0,477.0,1.0,8000000.0,SMA,DPK,14833333.0
56,3.0,15500000.0,66333333.0,2.0,91.0,5.0,156.0,3.0,8500000.0,D3,Kurang lancar,49750000.0
57,3.0,10500000.0,56166667.0,1.0,104.0,7.0,376.0,3.0,8000000.0,D1,Kurang lancar,42125000.0
58,4.0,18000000.0,49166667.0,14.0,133.0,8.0,104.0,4.0,8000000.0,S2,Diragukan,49166667.0
59,2.0,28000000.0,135333333.0,31.0,9.0,2.0,649.0,0.0,17500000.0,S1,DPK,0.0
60,2.0,13000000.0,64500000.0,9.0,55.0,5.0,424.0,2.0,5000000.0,S1,DPK,32250000.0
61,5.0,10500000.0,56333333.0,16.0,19.999999999999993,1.0,314.0,1.0,8000000.0,D1,DPK,14083333.0
62,1.0,9700000.0,56833333.0,10.0,17.0,1.0,433.0,1.0,7000000.0,SMA,DPK,14208333.0
63,3.0,19000000.0,54166667.0,25.0,33.0,2.0,695.0,1.0,11500000.0,S2,DPK,13541667.0
64,5.0,15500000.0,68833333.0,9.0,126.0,6.0,151.0,4.0,13500000.0,D1,Diragukan,68833333.0
65,1.0,10700000.0,58166667.0,16.0,7.000000000000007,1.0,345.0,0.0,6000000.0,SMA,DPK,0.0
66,4.0,22000000.0,68500000.0,5.0,144.0,8.0,210.0,1.0,6000000.0,S2,Diragukan,17125000.0
67,4.0,15500000.0,61500000.0,11.0,203.0,10.0,298.0,6.0,4500000.0,D3,Macet,92250000.0
68,4.0,20000000.0,65666667.0,13.0,128.0,8.0,229.0,2.0,9500000.0,S1,Diragukan,32833333.0
69,2.0,28000000.0,135000000.0,29.0,34.0,2.0,486.0,1.0,10500000.0,S2,DPK,33750000.0
70,6.0,13700000.0,60000000.0,15.0,107.0,4.0,444.0,1.0,7000000.0,SMA,Kurang lancar,15000000.0
71,4.0,10500000.0,59166667.0,16.0,97.0,4.0,372.0,1.0,5000000.0,D3,Kurang lancar,14791667.0
72,2.0,200000.0,23333333.0,2.0,160.0,9.0,64.0,5.0,9000000.0,SMP,Diragukan,29166667.0
73,4.0,22500000.0,67333333.0,8.0,93.0,7.0,188.0,1.0,6500000.0,D2,Kurang lancar,16833333.0
74,4.0,24000000.0,73833333.0,10.0,83.0,6.0,242.0,1.0,5000000.0,S1,DPK,18458333.0
75,2.0,18000000.0,65166667.0,16.0,3.0,1.0,691.0,0.0,13000000.0,S1,DPK,0.0
76,4.0,17500000.0,55666667.0,14.0,103.0,6.0,299.0,2.0,4500000.0,D1,Kurang lancar,27833333.0
77,5.0,200000.0,22500000.0,1.0,93.0,5.0,37.0,2.0,17500000.0,SMP,Kurang lancar,11250000.0
78,3.0,16500000.0,64000000.0,17.0,38.0,2.0,657.0,1.0,13500000.0,D1,DPK,16000000.0
79,2.0,21000000.0,64666667.0,19.0,22.0,3.0,440.0,0.0,9500000.0,S1,DPK,0.0
80,4.0,25500000.0,140166667.0,3.0,134.0,9.0,158.0,2.0,4000000.0,D1,Diragukan,70083333.0
81,4.0,15500000.0,58833333.0,11.0,163.0,8.0,253.0,3.0,8000000.0,D3,Diragukan,44125000.0
82,3.0,24000000.0,60333333.0,21.0,117.0,6.0,545.0,2.0,11000000.0,S1,Kurang lancar,30166667.0
83,3.0,22500000.0,45833333.0,19.0,0.0,0.0,481.0,0.0,7000000.0,D3,Lancar,0.0
84,6.0,14700000.0,60166667.0,13.0,21.0,1.0,268.0,1.0,13000000.0,SMA,DPK,15041667.0
85,5.0,10500000.0,59666667.0,4.0,14.0,1.0,244.0,0.0,9000000.0,D3,DPK,0.0
86,4.0,10500000.0,58333333.0,6.0,12.0,1.0,357.0,0.0,5500000.0,D3,DPK,0.0
87,4.0,18000000.0,64000000.0,12.0,83.0,6.0,245.0,2.0,8500000.0,S3,DPK,32000000.0
88,5.0,25500000.0,138500000.0,16.0,157.0,10.0,221.0,2.0,7000000.0,D1,Diragukan,69250000.0
89,5.0,19500000.0,64000000.0,14.0,94.0,5.0,215.0,2.0,8500000.0,D1,Kurang lancar,32000000.0
90,4.0,10500000.0,60000000.0,8.0,4.0,1.0,253.0,0.0,6000000.0,D3,DPK,0.0
91,3.0,19000000.0,66333333.0,23.0,86.0,5.0,552.0,2.0,9500000.0,S1,DPK,33166667.0
92,5.0,10500000.0,64166667.0,11.0,5.0,1.0,396.0,0.0,10000000.0,D3,DPK,0.0
93,4.0,10500000.0,58833333.0,14.0,47.0,2.0,404.0,1.0,9000000.0,D1,DPK,14708333.0
94,1.0,12700000.0,59666667.0,14.0,130.0,7.0,457.0,4.0,5500000.0,SMA,Diragukan,59666667.0
95,4.0,13000000.0,59833333.0,19.0,33.0,2.0,361.0,1.0,9000000.0,S1,DPK,14958333.0
96,4.0,22500000.0,67000000.0,14.0,71.0,6.0,273.0,1.0,6000000.0,D3,DPK,16750000.0
97,5.0,9700000.0,60666667.0,11.0,0.0,0.0,318.0,0.0,4000000.0,SMA,Lancar,0.0
98,4.0,18000000.0,58333333.0,1.0,137.0,6.0,163.0,2.0,5500000.0,S2,Diragukan,29166667.0
99,1.0,14700000.0,53666667.0,11.0,45.0,3.0,348.0,1.0,7500000.0,SMA,DPK,13416667.0
100,1.0,4700000.0,21666667.0,1.0,130.0,9.0,65.0,2.0,9000000.0,SMA,Diragukan,10833333.0
101,3.0,23000000.0,78333333.0,22.0,83.0,4.0,614.0,2.0,5500000.0,S3,DPK,39166667.0
102,3.0,17500000.0,47500000.0,19.0,17.0,1.0,515.0,1.0,8500000.0,D1,DPK,11875000.0
103,4.0,13000000.0,58500000.0,4.0,46.0,2.0,471.0,1.0,8500000.0,S1,DPK,14625000.0
104,4.0,13000000.0,54500000.0,2.0,109.0,6.0,485.0,2.0,6000000.0,S1,Kurang lancar,27250000.0
105,3.0,18000000.0,53000000.0,16.0,59.0,3.0,670.0,1.0,8000000.0,S2,DPK,13250000.0
106,4.0,18000000.0,74333333.0,5.0,88.0,7.0,196.0,1.0,12500000.0,S1,DPK,18583333.0
107,5.0,6700000.0,57666667.0,15.0,38.0,4.0,275.0,1.0,10000000.0,SMA,DPK,14416667.0
108,3.0,17500000.0,61000000.0,3.0,84.0,5.0,194.0,2.0,9000000.0,D3,DPK,30500000.0
109,3.0,10500000.0,60500000.0,1.0,29.0,2.0,261.0,1.0,3500000.0,D1,DPK,15125000.0
110,3.0,24000000.0,50166667.0,17.0,4.0,1.0,633.0,0.0,8000000.0,S1,DPK,0.0
111,0.0,7500000.0,56333333.0,5.0,108.0,7.0,316.0,1.0,12500000.0,D1,Kurang lancar,14083333.0
112,3.0,15500000.0,57333333.0,15.0,46.0,3.0,665.0,1.0,8000000.0,D3,DPK,14333333.0
113,4.0,17500000.0,68000000.0,6.0,133.0,7.0,259.0,2.0,10000000.0,D3,Diragukan,34000000.0
114,3.0,21500000.0,74500000.0,22.0,18.0,2.0,641.0,1.0,14500000.0,D1,DPK,18625000.0
